County,variable,value
Lancaster County,mean_ffu_housing_units_total,-16.99594151365601
Lee County,mean_ffu_housing_units_total,-5.8842896816746615
Lexington city,mean_ffu_housing_units_total,-0.3487544483985765
Loudoun County,mean_ffu_housing_units_total,2.055997948963418
Louisa County,mean_ffu_housing_units_total,0.6128235370093211
Lunenburg County,mean_ffu_housing_units_total,NaN
Lynchburg city,mean_ffu_housing_units_total,4.236102008740212
Madison County,mean_ffu_housing_units_total,-9.640633842671194
Manassas city,mean_ffu_housing_units_total,NaN
Manassas Park city,mean_ffu_housing_units_total,NaN
Martinsville city,mean_ffu_housing_units_total,-0.47068126324827597
Mathews County,mean_ffu_housing_units_total,NaN
Mecklenburg County,mean_ffu_housing_units_total,-11.151671983102279
Middlesex County,mean_ffu_housing_units_total,NaN
Montgomery County,mean_ffu_housing_units_total,NaN
Nelson County,mean_ffu_housing_units_total,NaN
New Kent County,mean_ffu_housing_units_total,-1.0564236111111112
Newport News city,mean_ffu_housing_units_total,9.046903819454917
Norfolk city,mean_ffu_housing_units_total,8.234916977192018
Northampton County,mean_ffu_housing_units_total,-17.030579710144927
Northumberland County,mean_ffu_housing_units_total,-21.242943748757703
Norton city,mean_ffu_housing_units_total,NaN
Nottoway County,mean_ffu_housing_units_total,-12.103356223413508
Orange County,mean_ffu_housing_units_total,NaN
Page County,mean_ffu_housing_units_total,0.6944182641707394
Patrick County,mean_ffu_housing_units_total,NaN
Petersburg city,mean_ffu_housing_units_total,4.751538355768138
Pittsylvania County,mean_ffu_housing_units_total,-5.8989840233362205
Poquoson city,mean_ffu_housing_units_total,NaN
Portsmouth city,mean_ffu_housing_units_total,4.055881580739057
Powhatan County,mean_ffu_housing_units_total,-5.295872534255076
Prince Edward County,mean_ffu_housing_units_total,-1.9234731517438284
Prince George County,mean_ffu_housing_units_total,4.004216073781291
Prince William County,mean_ffu_housing_units_total,2.703782378045729
Pulaski County,mean_ffu_housing_units_total,NaN
Radford city,mean_ffu_housing_units_total,5.056088792136684
Rappahannock County,mean_ffu_housing_units_total,-8.273320895522389
Richmond city,mean_ffu_housing_units_total,NaN
Richmond County,mean_ffu_housing_units_total,-5.830394857667585
Roanoke city,mean_ffu_housing_units_total,6.782392394388361
Roanoke County,mean_ffu_housing_units_total,2.7624975063676738
Rockbridge County,mean_ffu_housing_units_total,1.0551749874729803
Rockingham County,mean_ffu_housing_units_total,-1.4474880679758992
